,DATETIME,mark,LATITUDE_MDSS_deg,LONGITUDE_MDSS_deg,TWD_MDSS_deg,TWS_MDSS_km_h_1
0,2026-01-18 04:30:00+00:00,LG1,-32.0576699282974,115.7358989808708,223.9774163029878,27.152639999999998
1,2026-01-18 04:30:01+00:00,LG1,-32.05766803398726,115.7359056193382,224.23780022583702,28.25856
2,2026-01-18 04:30:02+00:00,LG1,-32.05766925774513,115.7359044458716,224.6190374462114,28.980719999999998
3,2026-01-18 04:30:03+00:00,LG1,-32.05766947567464,115.73590603843341,224.99368266853838,28.954079999999998
4,2026-01-18 04:30:04+00:00,LG1,-32.05766880512238,115.735905200243,225.2068239387188,29.122560000000004
5,2026-01-18 04:30:05+00:00,LG1,-32.0576712358743,115.73590330593281,225.4166692098758,28.3428
6,2026-01-18 04:30:06+00:00,LG1,-32.05767093412576,115.73590265214439,225.6990264595478,28.468079999999997
7,2026-01-18 04:30:07+00:00,LG1,-32.0576728787273,115.73590074107022,225.97918637653737,28.247040000000005
8,2026-01-18 04:30:08+00:00,LG1,-32.0576751753688,115.7358965836464,226.3626209295936,27.75528
9,2026-01-18 04:30:09+00:00,LG1,-32.05767447128894,115.7358979415148,226.517532883694,27.6336
10,2026-01-18 04:30:10+00:00,LG1,-32.057677455246434,115.735894555226,226.63728751487778,27.829439999999998
11,2026-01-18 04:30:11+00:00,LG1,-32.05767936632036,115.7358948234468,226.8031861323894,27.448559999999997
12,2026-01-18 04:30:12+00:00,LG1,-32.05767879635094,115.73590022139261,227.0723593859676,27.63216
13,2026-01-18 04:30:13+00:00,LG1,-32.057681126520045,115.73589921556402,227.44700460829478,27.53136
14,2026-01-18 04:30:14+00:00,LG1,-32.05768112652006,115.7359017636628,227.77880184331804,27.306720000000002
15,2026-01-18 04:30:15+00:00,LG1,-32.0576804559678,115.73590285331021,228.0457777642142,27.181440000000002
16,2026-01-18 04:30:16+00:00,LG1,-32.057679433375604,115.735904429108,228.22376171147798,27.09864
17,2026-01-18 04:30:17+00:00,LG1,-32.05767963454126,115.73590302094817,228.46656697286897,26.969759999999997
18,2026-01-18 04:30:18+00:00,LG1,-32.05767680145802,115.73590481467541,228.790673543504,26.66952
19,2026-01-18 04:30:19+00:00,LG1,-32.05767505802212,115.73590680956859,229.14334543900858,26.618399999999998
20,2026-01-18 04:30:20+00:00,LG1,-32.057675309479215,115.7359025850892,229.39494003112878,26.498160000000002
21,2026-01-18 04:30:21+00:00,LG1,-32.057672895491116,115.7359044793994,229.47734000671417,26.393039999999996
22,2026-01-18 04:30:22+00:00,LG1,-32.057673968374715,115.73590390943001,229.39713736381117,26.66232
23,2026-01-18 04:30:23+00:00,LG1,-32.057674404233715,115.7359005734324,229.2455214087342,26.589599999999997
24,2026-01-18 04:30:24+00:00,LG1,-32.05767400190234,115.73590104281878,229.0455641346478,26.60832
25,2026-01-18 04:30:25+00:00,LG1,-32.057675024494515,115.73589826002738,228.8719748527482,26.54352
26,2026-01-18 04:30:26+00:00,LG1,-32.05767512507736,115.735894991085,228.748924222541,26.2656
27,2026-01-18 04:30:27+00:00,LG1,-32.05767472274602,115.73589309677479,228.5522629474778,26.400240000000004
28,2026-01-18 04:30:28+00:00,LG1,-32.05767554417252,115.73589318059359,228.25782036805322,26.19792
29,2026-01-18 04:30:29+00:00,LG1,-32.05767475627362,115.7358926944434,227.96557512131122,26.05464
30,2026-01-18 04:30:30+00:00,LG1,-32.057674186304226,115.7358934488144,227.70189519943838,25.56576
31,2026-01-18 04:30:31+00:00,LG1,-32.05767430365086,115.73589391820158,227.49424726096382,25.462799999999998
32,2026-01-18 04:30:32+00:00,LG1,-32.057672576978824,115.73589403554797,227.28659932248902,25.37352
33,2026-01-18 04:30:33+00:00,LG1,-32.05766987800596,115.7358925100416,227.04379406109803,25.33032
34,2026-01-18 04:30:34+00:00,LG1,-32.05767014622688,115.73588957637563,226.82296212653,25.104239999999997
35,2026-01-18 04:30:35+00:00,LG1,-32.05766828544436,115.7358914371582,226.6438795129246,24.8688
36,2026-01-18 04:30:36+00:00,LG1,-32.0576669611037,115.73588895611461,226.6273995178076,24.79248
37,2026-01-18 04:30:37+00:00,LG1,-32.057667648419724,115.735884161666,226.6109195226908,24.71976
38,2026-01-18 04:30:38+00:00,LG1,-32.0576665420085,115.7358822338282,226.57246620075063,24.958080000000002
39,2026-01-18 04:30:39+00:00,LG1,-32.05766545236112,115.7358808089048,226.4636982329784,25.5636
40,2026-01-18 04:30:40+00:00,LG1,-32.05766686052086,115.7358791995794,226.3241676076538,25.799760000000003
41,2026-01-18 04:30:41+00:00,LG1,-32.05766689404847,115.73587978631261,226.14618366039022,25.7868
42,2026-01-18 04:30:42+00:00,LG1,-32.057665267959244,115.7358833402396,225.9758903775142,25.788239999999995
43,2026-01-18 04:30:43+00:00,LG1,-32.057665251195445,115.73588580451899,225.84514908291877,25.88904
44,2026-01-18 04:30:44+00:00,LG1,-32.05766499973834,115.73588935844597,225.76384777367502,25.917839999999995
45,2026-01-18 04:30:45+00:00,LG1,-32.05766375921666,115.73589197359979,225.74297311319296,25.79904
46,2026-01-18 04:30:46+00:00,LG1,-32.05766302160918,115.73589388467381,225.70561845759462,25.84512
47,2026-01-18 04:30:47+00:00,LG1,-32.057663558051004,115.73589247651401,225.6528824732202,26.059679999999997
48,2026-01-18 04:30:48+00:00,LG1,-32.057664195075645,115.73589085042441,225.64958647419658,26.2908
49,2026-01-18 04:30:49+00:00,LG1,-32.05766578763725,115.7358886711298,225.717703787347,26.83152
